wn_synset	babelnet_id	pos	lemmata en	lemmata es	definition	confidence	dist_from_music	dist_from_entity
v01733667	bn:00088148v	v	fiddle		play the violin or fiddle	0.8	99	99
UNIMARK			figle
n00263272	bn:00034388n	n	figuration		decorating with a design	0.701	11	9
UNIMARK			flagellant song
UNIMARK			flajolé
UNIMARK			flauta
UNIMARK			flauta de amor
UNIMARK			flauta de émbolo
UNIMARK			flauta de pan
UNIMARK			flauta de pico
UNIMARK			flautín
UNIMARK			flexatono
UNIMARK			fliscorno
n06890577	bn:00035367n	n	flourish		an ornamental embellishment in writing	1.0	11	7
n03376938	bn:00035594n	n	folding_saw		a saw with a toothed blade that folds into a handle (the way a pocketknife folds)	1.0	14	10
UNIMARK			folie
UNIMARK			folk music
UNIMARK			folk song
n10100620	bn:00035662n	n	food_manufacturer		a person who manufactures food products	0.333	11	7
n10102969	bn:00035810n	n	forefather		person from an earlier time who contributed to the tradition shared by some group	0.526	10	6
UNIMARK			forlana
UNIMARK			fortepiano
UNIMARK			foxtrot
UNIMARK			free jazz
UNIMARK			frottola
UNIMARK			funeral march
UNIMARK			funeral song
a00855158	bn:00103434a	a	funky, low-down		(of jazz) having the soulful feeling of early blues	0.8	99	99
UNIMARK			furiant
UNIMARK			fusion
UNIMARK			gaillard
UNIMARK			gaita
UNIMARK			galop
UNIMARK			gamelán
n06861315	bn:00037282n	n	gapped_scale		a musical scale with fewer than seven notes	0.764	8	8
UNIMARK			Gassenhauer
UNIMARK			gavot
UNIMARK			Geistliches Lied
UNIMARK			gemscorno
UNIMARK			genero chico
n05931341	bn:00040328n	n	gestalt		a configuration or pattern of elements so unified as a whole that it cannot be described merely as a sum of its parts	0.25	8	6
a01266649	bn:00103583a	a	Gilbertian		wildly comic and improbable as in Gilbert and Sullivan operas	0.667	99	99
UNIMARK			glass trumpet
UNIMARK			glee
UNIMARK			gloria
n10134282	bn:00040869n	n	gobbler		a hasty eater who swallows large mouthfuls	0.333	11	7
UNIMARK			gong
UNIMARK			gospel music
UNIMARK			grand opéra
n07026827	bn:00041338n	n	grand_opera		opera in which all the text is sung	1.0	4	7
n05860869	bn:00041345n	n	grand_total		the sum of the sums of several groups of numbers	0.5	11	9
n10143371	bn:00041366n	n	grandstander		someone who performs with an eye to the applause from spectators in the grandstand	0.333	12	8
n07384244	bn:00041458n	n	grate		a harsh rasping sound made by scraping something	0.333	9	7
n02192252	bn:00041702n	n	greenbottle, greenbottle_fly		blowfly with brilliant coppery green body	0.333	17	13
UNIMARK			greghesca
n14498843	bn:00041802n	n	griminess, grubbiness		the state of being grimy	0.5	9	7
n07032426	bn:00041892n	n	ground_bass		a short melody in the bass that is constantly repeated	0.871	4	8
UNIMARK			guardame las vacas
n03465500	bn:00042067n	n	Guarnerius		a violin made by a member of the Guarneri family	0.5	15	11
UNIMARK			güiro
n03467796	bn:00042151n	n	guitar_pick		a plectrum used to pluck a guitar	0.373	12	8
UNIMARK			guitarra
UNIMARK			guitarra eléctrica
UNIMARK			guitarra hawaiana
UNIMARK			guitarra-lira
UNIMARK			guitarrón
UNIMARK			gusla
UNIMARK			gymel
UNIMARK			gypsy song
UNIMARK			hadutanc
n06870965	bn:00042637n	n	half_rest		a musical rest having the time value of half a whole rest or equal in duration to two beats in common time	0.73	8	8
UNIMARK			halling
n06692369	bn:00042802n	n	handclap		a clap of the hands to indicate approval	0.783	6	6
n07278510	bn:00042806n	n	Handel		the music of Handel	1.0	1	5
UNIMARK			hard rock
a02737772	bn:00103976a	a	harmonic		of or relating to harmony as distinct from melody and rhythm	1.0	99	99
n10160624	bn:00043026n	n	harmonizer, harmoniser		a musician who sings or plays in harmony	1.0	11	7
UNIMARK			haute-contre
n07278582	bn:00043211n	n	Haydn		the music of Haydn	1.0	1	5
UNIMARK			heavy metal
UNIMARK			herald's trumpet
n11048109	bn:00025107n	n	Hess, Dame_Myra_Hess		English pianist (1890-1965)	1.0	12	8
UNIMARK			hi hat
UNIMARK			high trumpet
UNIMARK			high voice
a00022680	bn:00104148a	a	high-fidelity, hi-fi		characterized by minimal distortion in sound reproduction	1.0	99	99
UNIMARK			himno nacional
UNIMARK			hit
UNIMARK			hoquet
UNIMARK			hoquetus
n10185483	bn:00044801n	n	hornist		a musician who plays a horn (especially a French horn)	1.0	11	7
n10187710	bn:00044934n	n	hotdog, hot_dog		someone who performs dangerous stunts to attract attention to himself	0.333	12	8
n10191802	bn:00045195n	n	hummer		a singer who produces a tune without opening the lips or forming words	0.6	12	8
UNIMARK			Humoreske
UNIMARK			humoresque
UNIMARK			Hupfauf
n13284442	bn:00045292n	n	hush_money		a bribe paid to someone to insure that something is kept secret	0.5	11	9
UNIMARK			hymenaios
UNIMARK			hyporchema
UNIMARK			imploration
UNIMARK			improperia
UNIMARK			Improperien
UNIMARK			incidental / theater music
a02537743	bn:00104889a	a	increasing		music	1.0	99	99
UNIMARK			ingeniero de audio
UNIMARK			ingressa
n06396812	bn:00046884n	n	insert		a folded section placed between the leaves of another publication	0.5	2	6
UNIMARK			instrumental
UNIMARK			instrumental
UNIMARK			instrumental
UNIMARK			instrumental
UNIMARK			instrumental excerpts of an operatic or choreographic work
n07038767	bn:00046972n	n	instrumental_music		music intended to be performed by a musical instrument or group of instruments	1.0	1	5
UNIMARK			instrumento - sin especificar
UNIMARK			instrumento de cuerda frotada - otro
UNIMARK			instrumento de cuerda frotada - sin especificar
UNIMARK			instrumento de cuerda punteada - otro
UNIMARK			instrumento de cuerda punteada - sin especificar
UNIMARK			instrumento de viento
UNIMARK			instrumento de viento madera - otro
UNIMARK			instrumento de viento madera - sin especificar
UNIMARK			instrumento melódico
UNIMARK			instrumento o voz - sin especificar
UNIMARK			instrumento polifónico
UNIMARK			interlude
UNIMARK			intermedio
UNIMARK			intérprete - otro
UNIMARK			intonarumori
n01254978	bn:00047255n	n	intonation		singing by a soloist of the opening piece of plainsong	1.0	11	9
UNIMARK			intrada
UNIMARK			introduction
UNIMARK			invencion
UNIMARK			invitatorium
UNIMARK			invocatio
UNIMARK			invocation
UNIMARK			iporchema
v01725734	bn:00089955v	v	jazz		play something in the style of jazz	0.6	99	99
n15255439	bn:00048067n	n	Jazz_Age		the 1920s in the United States characterized in the novels of F. Scott Fitzgerald as a period of wealth, youthful exuberance, and carefree hedonism	0.347	9	7
a02019881	bn:00105523a	a	jazzy		resembling jazz (especially in its rhythm)	0.75	99	99
UNIMARK			jembe
UNIMARK			jeu parti
UNIMARK			jigg
n03601335	bn:00048372n	n	joint		a disreputable place of entertainment	0.5	13	9
UNIMARK			jota
n08249608	bn:00048518n	n	jug_band		a musical group that uses jugs and washboards and kazoos and other improvised instruments	0.667	9	7
UNIMARK			jumble
UNIMARK			justiniane
UNIMARK			Kantilene
UNIMARK			Kanzone
UNIMARK			Kanzonette
UNIMARK			Kavatine
UNIMARK			keyboard
UNIMARK			keyboard - other
a02437462	bn:00105607a	a	keyed		set to a key or tone	1.0	99	99
UNIMARK			kithara
UNIMARK			Klausel
UNIMARK			koleda
UNIMARK			kolo
UNIMARK			kontakion
UNIMARK			Kontrafaktur
UNIMARK			Konzertante
UNIMARK			kora
n10240715	bn:00049444n	n	koto_player		a musician who plays the koto	0.667	11	7
UNIMARK			krakowiak
UNIMARK			Kuhreihen
UNIMARK			kujawiak
UNIMARK			kyrie
UNIMARK			lai
UNIMARK			lamelófono
UNIMARK			lament
UNIMARK			lamentations
n07055923	bn:00049875n	n	landler		music in triple time for dancing the landler	1.0	2	6
UNIMARK			Ländler
UNIMARK			Langaus
n07046737	bn:00050031n	n	larghetto		(music) a composition or passage played in a slow tempo slightly faster than largo but slower than adagio	0.763	2	6
a00983304	bn:00105730a	a	larghetto		(of tempo) less slow and broad than largo	0.75	99	99
a00983401	bn:00105731a	a	larghissimo		(of tempo) as slow and broad as possible	1.0	99	99
UNIMARK			låtar
UNIMARK			látigo
UNIMARK			laúd
UNIMARK			laúd (familia)
UNIMARK			lauda
UNIMARK			lauds
n06815458	bn:00050365n	n	lead_sheet		a sheet containing the words and melody for a song (and some indication of harmony) written in simple form	0.787	3	7
UNIMARK			lectio
r00387983	bn:00116099r	r	legato		connecting the notes; in music	1.0	99	99
UNIMARK			Leise
r00388494	bn:00116103r	r	lento, slowly		in music	1.0	99	99
UNIMARK			Lied
UNIMARK			Liederspiel
UNIMARK			light conductor
UNIMARK			lija
UNIMARK			lindy
UNIMARK			lira da braccio
UNIMARK			lirica
UNIMARK			lirone
UNIMARK			litófono
UNIMARK			liturgical drama
UNIMARK			liturgy
UNIMARK			liturgy of the hours
UNIMARK			live electronic
n10272375	bn:00052022n	n	Lord_of_Misrule		a person appointed master of revels at a Christmas celebration	0.048	10	6
UNIMARK			loure
UNIMARK			low voice
UNIMARK			lucernario
UNIMARK			lujon
UNIMARK			lullaby / cradle song
n10277132	bn:00052335n	n	luncher		someone who is eating lunch	0.333	11	7
UNIMARK			lur
UNIMARK			lyricon
UNIMARK			macchietta
n07059821	bn:00052630n	n	macumba		popular dance music of Brazil; derived from the practices of the macumba religious cult	0.25	3	6
UNIMARK			madrigal comedy
UNIMARK			madrigale spirituale
UNIMARK			maggiolata
UNIMARK			malabarista
UNIMARK			malagueña
UNIMARK			mandolina
n10291580	bn:00044610n	n	manikin, mannikin, homunculus		a person who is very small but who is not otherwise deformed or abnormal	0.429	9	5
UNIMARK			maracas
UNIMARK			martillo
UNIMARK			masonic music
UNIMARK			masque
UNIMARK			masquerade
UNIMARK			matachin
UNIMARK			matins
UNIMARK			matraca
UNIMARK			maxixe
UNIMARK			mazur
UNIMARK			mazurek
n11168513	bn:00048328n	n	McCormick, John_McCormick		United States operatic tenor (born in Ireland) (1884-1945)	0.5	13	9
UNIMARK			medium voice
UNIMARK			melódica
UNIMARK			mélodie
v01706756	bn:00090735v	v	melodize, melodise		supply a melody for	1.0	99	99
UNIMARK			Melodrama
UNIMARK			mélodrame
UNIMARK			melopiano
UNIMARK			melos
UNIMARK			meta-instrument
UNIMARK			metal bells plate
UNIMARK			metales - otros
UNIMARK			metales - sin especificar
UNIMARK			metalofóno
UNIMARK			métamorphose
UNIMARK			Metamorphosen
UNIMARK			metamorphosis
UNIMARK			method
UNIMARK			mezzosoprano
UNIMARK			military march
UNIMARK			military music
UNIMARK			milonga
UNIMARK			mimo
UNIMARK			mimodramma
UNIMARK			mirlitón
UNIMARK			misa
UNIMARK			misa de difuntos
UNIMARK			miscellaneous
v01649695	bn:00090845v	v	misplay		play incorrectly, e.g., play a wrong note	1.0	99	99
UNIMARK			mock trumpet
UNIMARK			modinha
UNIMARK			monferrina
UNIMARK			monocordio
UNIMARK			moralidad
n06269674	bn:00055871n	n	morceau		a short literary or musical composition	0.5	2	6
UNIMARK			morceau de salon
UNIMARK			moresca
UNIMARK			morris dance
UNIMARK			motete
UNIMARK			moto perpetuo
n10335679	bn:00056139n	n	mouth		a person conceived as a consumer of food	0.25	11	7
UNIMARK			mouvement perpétuel
UNIMARK			moving picture music
n07278652	bn:00056177n	n	Mozart		the music of Mozart	1.0	1	5
n07215816	bn:00056193n	n	muckraking		the exposure of scandal (especially about public figures)	0.333	10	8
UNIMARK			mudanza
UNIMARK			muiñeira
UNIMARK			multimedia opera
UNIMARK			multiple forms
UNIMARK			mumming
UNIMARK			musette
n03800485	bn:00056425n	n	musette_pipe		a small simple oboe	0.5	17	13
UNIMARK			musical drama
UNIMARK			musical moment
UNIMARK			musical revue and comedy
UNIMARK			musical theatre
n00339173	bn:00056459n	n	musical_chairs		a rearrangement that has no practical effect or significance	0.5	13	11
UNIMARK			musique de table
UNIMARK			musique mesurée
n05643611	bn:00056490n	n	musketry		the technique of using small arms (especially in battle)	0.333	8	6
UNIMARK			mystery play
n06397307	bn:00056859n	n	narration		(rhetoric) the second section of an oration in which the facts are set forth	0.5	2	6
n00084642	bn:00057009n	n	naturalization, naturalisation		changing the pronunciation of a borrowed word to agree with the borrowers' phonology	0.2	10	8
UNIMARK			nenia
UNIMARK			new age
UNIMARK			new wave
UNIMARK			ney
UNIMARK			Nokturne
UNIMARK			nomos
UNIMARK			non christian
UNIMARK			noneto
n11512144	bn:00003670n	n	nonlinear_distortion, amplitude_distortion		distortion that occurs when the output signal does not have a linear relation to the input signal	0.053	12	8
n10362765	bn:00058135n	n	nosher, snacker		someone who eats lightly or eats snacks between meals	0.167	11	7
n06410776	bn:00058169n	n	notice		a short critical review	0.0	7	7
UNIMARK			novelette
UNIMARK			nursery-rhyme
n06815970	bn:00058427n	n	obbligato, obligato		a part of the score that must be performed without change or omission	1.0	2	6
UNIMARK			oberek
UNIMARK			obertura
UNIMARK			oboe d'amore
UNIMARK			oboe de caza
UNIMARK			oboe pícolo
UNIMARK			ocarina
UNIMARK			octabajo
UNIMARK			octeto
UNIMARK			ode
UNIMARK			offertory
UNIMARK			officium defunctorum
n07052700	bn:00040980n	n	oldie, golden_oldie		a song that was formerly popular	1.0	3	7
UNIMARK			olifante
UNIMARK			ondes Martenot
UNIMARK			onestep
UNIMARK			ópera
UNIMARK			opéra bouffe
UNIMARK			opera semiseria
UNIMARK			opéra-ballet
UNIMARK			opéra-comique
UNIMARK			opérette
UNIMARK			oratio
UNIMARK			orchestras
UNIMARK			ordenador
UNIMARK			organ mass
UNIMARK			organillo
UNIMARK			órgano
UNIMARK			órgano de boca
UNIMARK			organum
UNIMARK			orquesta - otro
UNIMARK			orquesta - sin especificar
UNIMARK			orquesta de baile
UNIMARK			orquesta de cámara
UNIMARK			orquesta de cuerdas
UNIMARK			orquesta de percusión
UNIMARK			orquesta de vientos
UNIMARK			orquesta sinfónica
UNIMARK			oscillator
UNIMARK			other
UNIMARK			other form
UNIMARK			other performers
UNIMARK			otro
n09735113	bn:00059645n	n	Ottoman, Ottoman_Turk, Osmanli		a Turk (especially a Turk who is a member of the tribe of Osman I)	0.013	12	8
UNIMARK			oud
UNIMARK			padovana
UNIMARK			paean
UNIMARK			palo de lluvia
UNIMARK			palotas
UNIMARK			pandereta
n07388706	bn:00060422n	n	pant		the noise made by a short puff of steam (as from an engine)	0.333	9	7
n07388816	bn:00028900n	n	paradiddle, roll, drum_roll		the sound of a drum (especially a snare drum) beaten rapidly and continuously	0.647	8	6
UNIMARK			paraphrase
n07030976	bn:00060775n	n	part_music		vocal music for several voices in independent parts (usually performed without accompaniment)	0.909	1	5
UNIMARK			Parthie
UNIMARK			partimento
n07047275	bn:00060813n	n	partita		one of the variations contained in a partita	1.0	4	8
n01255452	bn:00060773n	n	part-singing		singing with three or more voice parts	0.671	11	9
UNIMARK			pas de deux
UNIMARK			pas redoublé
UNIMARK			paso doble
UNIMARK			paspy
UNIMARK			passacaglia
UNIMARK			passacaille
UNIMARK			passamezzo
UNIMARK			passeggiata
UNIMARK			passion music
UNIMARK			pastoral drama
UNIMARK			pastourelle
UNIMARK			pater noster
UNIMARK			patriotic hymn
UNIMARK			pavaniglia
n10412784	bn:00061259n	n	peeler		a worker who peels the skins from fruits and vegetables	0.0	9	5
UNIMARK			penillon
UNIMARK			percusión - otro
UNIMARK			percusión - sin especificar
UNIMARK			percusión electrónica
UNIMARK			périgourdine
UNIMARK			perpetuum mobile
UNIMARK			phorminx
a01458490	bn:00108578a	a	pianissimo		chiefly a direction or description in music; very soft	1.0	99	99
n06815621	bn:00062207n	n	piano_music		sheet music to be played on a piano	1.0	3	7
UNIMARK			pianola
n07058762	bn:00062215n	n	pibroch		martial music with variations; to be played by bagpipes	0.533	4	7
UNIMARK			piccolo clarinet
UNIMARK			piccolo cornett
n10432189	bn:00062254n	n	picnicker, picknicker		a person who is picnicking	0.5	11	7
UNIMARK			pífano
UNIMARK			pipa
v01727684	bn:00091655v	v	pipe		play on a pipe	0.75	99	99
n10434947	bn:00062578n	n	pipe_major		the chief piper in a band of bagpipes	0.227	12	8
a03151871	bn:00108630a	a	pitched		(of sound) set to a certain pitch or key; usually used as a combining form	1.0	99	99
UNIMARK			piva
UNIMARK			plainte
UNIMARK			plaisanterie
UNIMARK			planctus
UNIMARK			plantation song
UNIMARK			platillos
UNIMARK			platillos chinos
n00101191	bn:00062956n	n	playing		the act of playing a musical instrument	1.0	12	10
n07389931	bn:00063047n	n	plonk		the noise of something dropping (as into liquid)	0.5	9	7
v01977421	bn:00091753v	v	plop		drop something with a plopping sound	1.0	99	99
n05865652	bn:00063051n	n	plot_element		a component or element of the plot of a story	0.333	11	9
UNIMARK			plucked
n07390205	bn:00063095n	n	plump		the sound of a sudden heavy fall	0.333	9	7
UNIMARK			pochette
UNIMARK			polka mazurka
UNIMARK			Polnischer Tanz
UNIMARK			polo
UNIMARK			polonaise
UNIMARK			pommer
UNIMARK			popular music
n10456070	bn:00063700n	n	poseuse		a woman poseur	0.5	13	9
UNIMARK			post evangelium
UNIMARK			post lectionem
UNIMARK			postcommunio
UNIMARK			post-communion
n07041344	bn:00063801n	n	postlude		a voluntary played at the end of a religious service	0.333	4	8
